"wavelength","k"
734.44,1446.01816211368
734.89,1369.07208789566
735.33,1398.14641802758
735.77,1364.81183900744
736.21,1364.51287417318
736.65,1294.5924735603
737.09,1318.84599573975
737.53,1329.98243581599
737.97,1301.39392353974
738.41,1298.4790164057
738.85,1270.60054561082
739.29,1257.59557532045
739.73,1180.27579505961
740.17,1195.44826039837
740.61,1136.66429986173
741.05,1196.56937852685
741.49,1189.3568519003
741.93,1222.766172129
742.37,1174.78231623005
742.81,1158.86243880564
743.26,1138.08438282447
743.7,1145.25953884674
744.14,1150.49142344632
744.58,1111.77547740947
745.02,1110.16854142531
745.46,1150.97724130199
745.9,1100.22796068612
746.34,1092.52961620389
746.78,1078.32878657648
747.22,1042.07930042229
747.66,1070.2941066557
748.1,966.777532792705
748.54,1007.21252662656
748.98,1004.89554916103
749.42,1043.31253036362
749.86,994.768115400426
750.29,1007.3246384394
750.73,1043.08830673792
751.17,995.777121716058
751.61,1022.45973317389
752.05,994.618632983295
752.49,978.848237976008
752.93,936.582084532307
753.37,981.464180275795
753.81,1003.73706042827
754.25,894.614895922867
754.69,937.74057326507
755.13,876.228558615793
755.57,918.793676893755
756.01,875.21955230016
756.45,933.629806793976
756.89,838.596360103143
757.33,981.875256922904
757.77,888.187151986248
758.21,882.394708322434
758.64,801.89842669756
759.08,900.743675025225
759.52,833.177622482155
759.96,873.649986920288
760.4,872.454127583243
760.84,873.463133898875
761.28,865.092118539557
761.72,843.267685638477
762.16,841.287043611495
762.6,794.162711611047
763.03,830.187974139542
763.47,828.805261781083
763.91,808.62513546844
764.35,765.349975709107
764.79,838.14791285175
765.23,769.834448223028
765.67,779.999252587914
766.11,744.833513957921
766.54,794.872753092417
766.98,761.313950446579
767.42,711.797899772039
767.86,737.845210957061
768.3,753.540864755783
768.74,746.515191150641
769.17,811.577413206771
769.61,772.114055084271
770.05,734.743450801599
770.49,710.863634664973
770.93,721.290033259838
771.37,734.145521133077
771.8,695.205351470533
772.24,676.183713890654
772.68,791.883104749804
773.12,763.070368847864
773.56,679.584438880377
774,681.079263051683
774.43,720.729474195598
774.87,686.684853694084
775.31,680.89241003027
775.75,689.898725662394
776.19,717.702455248701
776.62,667.364251279943
777.06,662.84240816174
777.5,717.926678874397
777.94,730.221607683396
778.37,660.787024926193
778.81,716.768190141634
779.25,700.213012444411
779.69,651.705968085504
780.13,733.285997234575
780.56,641.279569490638
781,680.481333383161
781.44,699.652453380171
781.88,632.75907171419
782.31,658.245823834971
782.75,695.765910534773
783.19,681.266116073097
783.63,734.780821405882
784.06,664.000896894503
784.5,601.554617138159
784.94,720.243656339923
785.37,694.644792406294
785.81,646.175118651668
786.25,652.303897754027
786.69,700.175641840128
787.12,673.493030382301
787.56,614.148510781419
788,645.50244777458
788.43,646.100377443103
788.87,663.701932060241
789.31,654.807728240966
789.75,654.359280989574
790.18,713.255353339063
790.62,724.728128853843
791.06,639.597892297918
791.49,606.338054486341
791.93,670.764976269666
792.37,669.531746328338
792.8,603.38577674801
793.24,611.719421503045
793.68,624.64965058485
794.11,612.429462984416
794.55,610.523562166
794.99,665.832056504353
