"wavelength","k"
500.34,2089.91367390411
500.8,1993.75910908479
501.25,2079.59938712209
501.71,2002.24223625696
502.17,2012.63126424754
502.62,2029.93385403042
503.08,2047.38592623043
503.53,1996.37505138458
503.99,2038.49172241115
504.44,2019.54482603984
504.9,2011.65962853619
505.36,2023.46873948952
505.81,1974.5506184835
506.27,1976.2696662805
506.72,1984.56594043126
507.18,1943.98146418028
507.63,1949.77390784409
508.09,1967.63705669121
508.54,1991.21790799357
509,1992.60062035203
509.45,1984.37908740984
509.91,1954.0715273366
510.36,1968.12287454688
510.82,1985.79917037258
511.27,1984.34171680556
511.73,1977.83923166038
512.19,1984.08012257558
512.64,1965.95537949849
513.1,2008.59523898501
513.55,1955.41686909077
514.01,1970.70144624239
514.46,1912.85175081281
514.92,1949.17597817557
515.37,2000.48581785567
515.83,1903.92017638925
516.28,1942.71086363466
516.73,1922.71759034344
517.19,1982.36107477858
517.64,1968.16024515116
518.1,1904.44336484921
518.55,1961.91935423596
519.01,1959.30341193617
519.46,1938.82432078927
519.92,1970.25299899099
520.37,1970.51459322097
520.83,2006.05403789379
521.28,1982.99637505138
521.74,1984.82753466124
522.19,1987.0697709182
522.65,1978.81086737173
523.1,2004.82080795246
523.55,1988.22825965096
524.01,2010.05269255204
524.46,2027.09368810494
524.92,2031.57816061886
525.37,2053.81367016705
525.83,2100.52692552039
526.28,2056.35487125827
526.73,2070.89203632423
527.19,2093.87495795807
527.64,2110.09380021675
528.1,2135.6552935461
528.55,2114.12982547928
529.01,2224.11151388318
529.46,2239.84453828618
529.91,2101.5733024403
530.37,2199.07320901379
530.82,2244.7774580515
531.28,2215.17993945962
531.73,2201.24070406218
532.18,2317.35117156844
532.64,2303.74827160955
533.09,2334.50427893419
533.54,2352.66639261557
534,2421.72726932995
534.45,2438.65615307
534.91,2463.91868156508
535.36,2444.78493217235
535.81,2513.80843828245
536.27,2565.6788370268
536.72,2522.3289360589
537.17,2544.97552225419
537.63,2589.25968832916
538.08,2652.19178594118
538.54,2663.85141447737
538.99,2712.28371762771
539.44,2748.79479801188
539.9,2760.23020292238
540.35,2784.22213087186
540.8,2849.20961171942
541.26,2920.28850106506
541.71,2900.1457453567
542.16,2942.22504577899
542.62,3044.50838970066
543.07,3065.1369632647
543.52,3147.91285175081
543.98,3152.58417728615
544.43,3222.57931910759
544.88,3216.26368698382
545.34,3270.60054561082
545.79,3347.02343136888
546.24,3387.34631338989
546.69,3488.43379797451
547.15,3501.58825068201
547.6,3542.62117418439
548.05,3637.57987966665
548.51,3651.44437385553
548.96,3680.25710975746
549.41,3782.35360065772
549.86,3846.63104002392
550.32,3869.91292649202
550.77,3980.11883852162
551.22,4007.3246384394
551.68,4032.40031391308
552.13,4126.94794274823
552.58,4183.3028140065
553.03,4257.7076871333
553.49,4379.9843043462
553.94,4378.60159198774
554.39,4425.80066519676
554.84,4508.50181247431
555.3,4597.51859187563
555.75,4633.58122500841
556.2,4746.58993235921
556.65,4869.91292649202
557.11,4877.42441795284
557.56,5002.13012444411
558.01,5040.39762322957
558.46,5071.11625994992
558.92,5178.51937665832
559.37,5287.34257632946
559.82,5294.44299114317
560.27,5414.066295452
560.72,5477.78317575395
561.18,5546.05926977839
561.63,5650.846444187
562.08,5701.37150117717
562.53,5805.63548712583
562.99,5875.36903471729
563.44,5954.37049217086
563.89,6073.20901378975
564.34,6146.90384543518
564.79,6242.72207481595
565.25,6300.45965843267
565.7,6391.68130348668
566.15,6448.93306924773
566.6,6566.38887850817
567.05,6637.84147389663
567.5,6724.31705220673
567.96,6804.70122201876
568.41,6948.57804850704
568.86,7005.79244366382
569.31,7157.40498523861
569.76,7220.82290070631
570.21,7316.60375948279
570.67,7376.69569116932
571.12,7484.32303150342
571.57,7579.39384879853
572.02,7683.6204641429
572.47,7794.685900071
572.92,7900.96789865092
573.37,7972.68208826937
573.83,8064.24006876191
574.28,8200.94173922792
574.73,8306.10261967936
575.18,8393.32561007511
575.63,8549.87107141522
576.08,8642.28857580627
576.53,8829.88900930528
576.98,8889.19615830188
577.44,9078.2914159722
577.89,9140.25187787287
578.34,9302.32818864681
578.79,9409.69393475092
579.24,9544.9755222542
579.69,9654.84509884525
580.14,9833.36447550357
580.59,10018.8347845585
581.04,10145.6706154939
581.49,10210.8075787585
581.95,10416.4953847304
582.4,10563.2497477484
582.85,10760.5291677566
583.3,10921.6712134235
583.75,11139.0560185358
584.2,11345.2296423633
